Date,Type,Link
2021-04-02 03:32:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783326905379627008
2021-04-01 14:43:11,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783098279115796480
2021-04-01 07:10:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781372966182629376
2021-04-01 05:23:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6782927783153823744
2021-03-31 18:45:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6783040179809644544
2021-03-31 18:45:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782888199829229568
2021-03-31 07:12:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779556107263315968
2021-03-30 19:03:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782577118762045440
2021-03-30 10:26:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6782403091192004608
2021-03-30 10:26:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782542989387530240
2021-03-30 06:00:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781598179788959744
2021-03-30 05:59:49,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782233754405543936
2021-03-29 04:54:36,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6781775966545969152
2021-03-29 04:53:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6782159977176936448
2021-03-28 06:52:26,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781558001980497920
2021-03-28 06:27:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781643052164399104
2021-03-28 04:11:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781781774369386496
2021-03-27 19:57:19,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781639573228400640
2021-03-27 07:09:46,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777967687143448576
2021-03-26 18:22:14,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6781150123540942849
2021-03-26 18:19:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780980836381683712
2021-03-26 18:19:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6764167091307315200
2021-03-26 15:05:52,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781179452660436992
2021-03-26 15:05:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6781081326389932032
2021-03-26 04:17:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780754823932444672
2021-03-25 19:03:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780866430549159936
2021-03-25 19:02:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780775774262718464
2021-03-25 19:01:21,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780864154036170752
2021-03-25 05:32:29,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777636655277891584
2021-03-24 18:07:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780358569050079232
2021-03-24 18:07:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780399671593455616
2021-03-24 09:39:23,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6780217346511400960
2021-03-24 06:05:27,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6780104785539432448
2021-03-24 06:04:42,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779981859372834816
2021-03-23 18:52:20,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6778942150886481920
2021-03-23 04:21:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779140265081876480
2021-03-22 14:14:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777861511500095489
2021-03-22 14:06:51,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779745401592418304
2021-03-21 20:32:06,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6778419871458885632
2021-03-21 20:31:56,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6778714597034655744
2021-03-21 20:28:53,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779361254348787713
2021-03-21 20:28:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6779390553542012928
2021-03-20 04:10:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777442710853832704
2021-03-18 13:16:35,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AlyndaCourse%3A3107157
2021-03-17 19:01:31,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777996435645358080
2021-03-17 10:12:55,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777829666314080256
2021-03-17 05:07:59,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777092929963089920
2021-03-17 05:06:33,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777454167653941248
2021-03-17 05:05:47,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6777601701156270080
2021-03-14 11:35:03,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6776590476536623104
2021-03-13 20:31:57,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6774412611158056960
2021-03-13 20:31:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6776363377871605760
2021-03-13 20:31:17,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6776414760490672128
2021-03-13 04:56:32,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775427072450977794
2021-03-12 15:54:48,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6776122644229177347
2021-03-11 12:56:02,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775722186318733312
2021-03-11 08:58:34,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775460770353360896
2021-03-10 10:43:00,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6770929583974883328
2021-03-10 10:41:45,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6775240661273837568
2021-03-10 05:06:12,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6773611372048658432
2021-03-09 19:20:22,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3AugcPost%3A6772631052814032897
2021-03-09 05:47:13,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6770724045311893504
2021-03-08 17:36:50,LIKE,https://www.linkedin.com/feed/update/urn%3Ali%3Aactivity%3A6774703967906660352
